epoch,train_loss,train_acc,test_loss,test_acc
128,2.5648567279052736,55.081,2.0107591122011597,66.47
129,2.5570607984924316,55.105999999999995,2.0250343642657316,66.06
130,2.5769688772583006,55.068,2.0065258590480948,66.47
131,2.5669473976135255,55.187,2.0092819189723534,66.52
132,2.5621539070129398,55.135000000000005,1.9817685914944998,66.31
133,2.5540200816345213,55.150999999999996,1.9972841407679305,66.46
134,2.5585367585754395,55.197,2.002113479602186,66.39
135,2.56205487487793,55.235,1.9979344636579104,66.51
136,2.5662227989196778,55.223,1.9829989852784555,66.44
137,2.55229203704834,55.297,1.9909593817553943,66.52
138,2.5639270474243165,55.329,1.9905008258698862,66.46
139,2.558967312927246,55.328,2.0011364297021794,66.5
140,2.5684923046875,55.218,1.9962742026848128,66.27
141,2.5629894873046872,55.315,2.0068530221528644,66.29
142,2.575602766113281,55.259,1.9954767664776574,66.56
143,2.566943498687744,55.297,2.000607240049145,66.52
144,2.5726705287170413,55.287,2.001914650579042,66.69
145,2.576840822143555,55.412000000000006,2.0627994974957238,66.54
146,2.6043337164306637,55.329,1.9955154099041903,66.64
147,2.574519063873291,55.379000000000005,1.9919521265392062,66.86
148,2.573336454620361,55.372,2.0113513937479333,66.58
149,2.5876108236694337,55.376,2.0175804427907438,66.67
150,2.585604297485352,55.419,1.9924929157088074,66.71
151,2.5798718061828616,55.358999999999995,1.9901260544982138,66.73
152,2.5746468232727047,55.435,2.024344210383258,66.75
153,2.5930422154235844,55.408,2.012989765481104,66.83
154,2.593624556427002,55.464,2.0129376559317866,66.73
155,2.5875906352233886,55.436,2.002134425730645,66.78
156,2.584937932739258,55.494,1.9860892446735237,66.78
157,2.5885714131164552,55.510999999999996,1.9940540141697172,66.79
158,2.584371929473877,55.586,2.014757047725629,66.34
159,2.58979049911499,55.495999999999995,2.002541448496565,66.74
160,2.586216307983398,55.557,2.0328161580653132,66.92
161,2.6117365591430666,55.602999999999994,2.014358180987684,66.61
162,2.5898892623901366,55.521,2.005001024354862,66.57
163,2.586890502471924,55.548,2.0124817392494103,66.58
164,2.5962972776794433,55.543,2.02774344365808,66.6
165,2.5980946968078613,55.587999999999994,2.004923506628109,66.61
166,2.5961947286987304,55.596000000000004,2.0362941298303725,66.91
167,2.611753861846924,55.57,2.027801080595089,66.91
168,2.6114521102905277,55.616,1.997082639344131,67.24
169,2.603748494873047,55.718,2.0124608051927786,66.93
170,2.604201804199219,55.638999999999996,2.024735631822031,66.81
171,2.6030405329895023,55.666,2.056279463104055,66.82
172,2.6221139823913573,55.590999999999994,2.0422909048539175,66.84
173,2.615955926361084,55.643,2.0096568216251423,67.07
174,2.6017679507446285,55.706,2.040973761413671,67.04
175,2.6148481176757814,55.697,2.0371057096915908,66.96
176,2.6242806436157227,55.653,2.0257701707791678,67.14
177,2.6192944308471677,55.685,2.0352171795277654,66.81
178,2.6200748091125488,55.605000000000004,2.0306348393235027,66.77
179,2.6187651701354984,55.696,2.037911777254901,66.87
180,2.618553948516846,55.749,2.0349916778033292,66.91
181,2.618594735107422,55.691,2.0386982099919377,66.78
182,2.619640594787598,55.67700000000001,2.0566474772706815,66.7
183,2.6458947338867187,55.661,2.026525836956652,66.98
184,2.6253121600341798,55.769999999999996,2.024868844430658,66.72
185,2.6192174778747557,55.708,2.031305153158647,66.76
186,2.6165201275634766,55.713,2.0237147913703435,66.7
187,2.619309737548828,55.682,2.064561098436766,66.73
188,2.644593090362549,55.697,2.1011463992203336,66.57
189,2.6697639073181154,55.721000000000004,2.0165059823024123,66.82
190,2.6249350314331057,55.757000000000005,2.016786702071564,67.22
191,2.619985414581299,55.805,2.0413244419460055,66.81
192,2.629422015686035,55.75,2.0381276094460787,67.03
193,2.6319516708374024,55.774,2.065616891353945,67.08
194,2.643468611755371,55.789,2.0582687341714205,66.8
195,2.641429487609863,55.766000000000005,2.065584750115117,66.7
196,2.6507227311706543,55.848,2.0421948704538466,67.08
197,2.6399809785461423,55.772,2.020632764961146,66.93
198,2.6335484088134766,55.837999999999994,2.0585690238807777,66.79
199,2.6513290716552733,55.858000000000004,2.029280250585532,66.88
200,2.635467424468994,55.858000000000004,2.0537610838684857,66.57
